"('Big Ten', 36)","('Big 12', 36)","('Pac-12', 58)","('ACC', 'DNS')","('SEC', 35)","('FBS Indep.', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')","('American', 117.5)"
"('OSU', 1)","('TCU', 2)","('Utah', 5)","('Clemson', 6)","('LSU', 7)","('Notre Dame', 15)","('Toledo', 24)","('Boise State', 25)","('Houston', 27.5)"
"('Michigan State', 4)","('Baylor', 3)","('Stanford', 16)","('FSU', 12)","('Alabama', 8)","('BYU', 36)",,,"('Temple', 29)"
"('Northwestern', 13)","('Oklahoma', 10)","('USC', 17)","('Duke', 27.5)","('Texas A&M', 9)",,,,"('Navy', 30.5)"
"('Michigan', 18)","('Oklahoma State', 21)","('UCLA', 20)",,"('Florida', 11)",,,,"('Memphis', 30.5)"
"('Iowa', 22)","('West Virginia', 34)","('Cal', 23)",,"('Ole Miss', 14)",,,,
,"('Texas Tech', 35)","('Oregon', 26)",,"('Georgia', 19)",,,,
,"('Kansas State', 37.5)","('Arizona State', 32)",,"('Miss St', 33)",,,,
,,,,"('Missouri', 37.5)",,,,
