"('Big Ten', 17)","('SEC', 29)","('FBS Indep.', 'DNS')","('ACC', 57)","('Mountain West', 'DNS')","('Big 12', 73)","('American', 'DNS')","('Pac-12', 'DNS')","('Sun Belt', 'DNS')"
"('Oregon', 1)","('Texas', 3)","('Notre Dame', 5)","('Miami', 8)","('Boise St', 11)","('Arizona St', 14)","('Tulane', 18)","('Washington St', 30)","('Louisiana', 32)"
"('Ohio State', 2)","('Georgia', 6)",,"('SMU', 9)","('UNLV', 21)","('Iowa State', 17)","('Army', 25)",,
"('Penn State', 4)","('Tennessee', 7)",,"('Clemson', 12)",,"('BYU', 19)","('Memphis', 27)",,
"('Indiana', 10)","('Alabama', 13)",,"('Syracuse', 28)",,"('Colorado', 23)",,,
"('Illinois', 22)","('Ole Miss', 15)",,"('Louisville', 29)",,"('Kansas St', 26)",,,
,"('South Carolina', 16)",,"('Duke', 31)",,,,,
,"('Texas A&M', 20)",,"('Georgia Tech', 34.5)",,,,,
,"('Missouri', 24)",,,,,,,
,"('Florida', 33)",,,,,,,
,"('LSU', 34.5)",,,,,,,
