"('SEC', 66.5)","('Big Ten', 72.5)","('ACC', 72)","('Big 12', 'DNS')","('Pac-12', 56)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('Oklahoma', 5)","('Washington', 7)","('Notre Dame', 21)","('Wyoming', 27)","('Tulane', 30)","('James Madison', 34.5)"
"('Alabama', 11)","('Ohio State', 3)","('North Carolina', 12)","('Texas', 9)","('Oregon', 8)",,"('Air Force', 28.5)",,
"('Ole Miss', 13)","('Penn State', 6)","('Louisville', 14)","('Kansas', 23)","('USC', 10)",,,,
"('Tennessee', 19.5)","('Wisconsin', 28.5)","('Duke', 17)","('West Virginia', 31)","('Oregon St', 15)",,,,
"('LSU', 22)","('Maryland', 33)","('Miami', 25)",,"('Utah', 16)",,,,
"('Kentucky', 24)","('Iowa', 34.5)","('Clemson', 32)",,"('UCLA', 18)",,,,
"('Missouri', 26)",,,,"('Washington St', 19.5)",,,,
"('Texas A&M', 36)",,,,,,,,
