"('Big Ten', '89.5')","('Pac-12', '75.5')","('Big 12', 75)","('SEC', 38)","('ACC', '102.5')","('FBS Indep.', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Michigan', 1)","('Washington', 2)","('Texas', 3)","('Georgia', 4)","('Florida St', 6.5)","('Notre Dame', 14)","('SMU', 22)","('Liberty', 25)","('James Madison', 29)","('Air Force', 34)","('Toledo', 35)"
"('Ohio State', 10)","('Oregon', 6.5)","('Oklahoma', 15)","('Alabama', 5)","('Louisville', 19)",,"('Tulane', 28)","('UTSA', 40)","('Troy', 33)","('Wyoming', 41.5)","('Miami (Ohio)', 39)"
"('Penn State', 13)","('Arizona', 11)","('Oklahoma St', 16)","('Missouri', 8)","('Clemson', 20)",,"('Memphis', 31)",,,,"('Ohio', 43)"
"('Iowa', 24)","('Oregon St.', 26)","('Kansas St', 18)","('Ole Miss', 9)","('NC State', 21)",,,,,,
"('Northwestern', 41.5)","('Southern Cal', 30)","('Kansas', 23)","('LSU', 12)","('Duke', 36)",,,,,,
,"('Utah', 32)","('West Virginia', 27)","('Tennessee', 17)",,,,,,,
,"('UCLA', 37.5)",,"('Kentucky', 37.5)",,,,,,,
