"('SEC', 45)","('Big Ten', 'DNS')","('Pac-12', 67)","('ACC', 102)","('Big 12', 92)","('FBS Indep.', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Washington', 4)","('Florida St', 5)","('Texas', 7)","('Notre Dame', 17)","('Tulane', 18)","('Liberty', 22)","('Toledo', 23)","('James Madison', 24)","('UNLV', 28)"
"('Alabama', 8)","('Michigan', 3)","('Oregon', 6)","('Louisville', 9)","('Oklahoma', 13)",,"('SMU', 29)","('New Mexico St', 34)","('Miami OH', 36.0)",,"('Fresno St', 33)"
"('Missouri', 10)","('Penn State', 11)","('Oregon St', 15)","('NC State', 27)","('Kansas St', 19)",,,,,,
"('Ole Miss', 12)","('Iowa', 20)","('Arizona', 16)","('North Carolina', 30)","('Oklahoma St', 21)",,,,,,
"('LSU', 14)",,"('Utah', 26)","('Clemson', 31)","('Kansas', 32)",,,,,,
"('Tennessee', 25)",,"('UCLA', 36.0)",,,,,,,,
"('Texas A&M', 36.0)",,,,,,,,,,
