AP_XC_5_Team_Race,SEC,Big Ten,Pac-12,ACC,Big 12,FBS Indep.,American,Mountain West,Sun Belt,MAC,CUSA
Preseason,38,,,,75,,,,,,
Week 2,47,59,55,98,113.5,,,,,,
Week 3,53,71,54,92,95,,,,,,
Week 4,64,73,48,85,107,,,,,,
Week 5,67,78.5,50,83.5,99,,,,,,
Week 6,69,70,52,80,111,,,,,,
Week 7,66.5,72.5,56,72,,,,,,,
Week 8,61,,58,78,120,,,,,,
Week 9,53,84,60,88,,,,,,,
Week 10,47,,65,,90,,,,,,
Week 11,49,,59,110,84.5,,,,,,
Week 12,48,,56,,95,,,,,,
Week 13,45,,67,102,92,,,,,,
Week 14,42,,72.5,102.5,97,,,,,,
Week 15,44,,73,,98,,,,,,
Week 16,,,,,,,,,,,
Final,38,89.5,75.5,102.5,75,,,,,,
