"('SEC', 53)","('Big Ten', 71)","('ACC', 92)","('Big 12', 95.0)","('Pac-12', 54)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 3)","('Texas', 4)","('USC', 5)","('Notre Dame', 9)","('Tulane', 30)","('Fresno St', 36)","('James Madison', 38.5)"
"('Alabama', 10)","('Ohio State', 6)","('North Carolina', 20)","('Kansas St', 15)","('Washington', 8)",,,"('Wyoming', 38.5)",
"('Tennessee', 11)","('Penn State', 7)","('Duke', 21)","('Oklahoma', 19)","('Utah', 12)",,,,
"('LSU', 14)","('Iowa', 25)","('Miami', 22)","('TCU', 28.5)","('Oregon', 13)",,,,
"('Ole Miss', 17)","('Wisconsin', 31)","('Clemson', 26)","('Kansas', 28.5)","('Oregon St', 16)",,,,
"('Arkansas', 27)","('Minnesota', 34.5)",,"('Cincinnati', 34.5)","('Colorado', 18)",,,,
"('Mississippi St', 32.5)","('Maryland', 38.5)",,"('Oklahoma St', 38.5)","('Washington St', 23)",,,,
"('Kentucky', 32.5)",,,,"('UCLA', 24)",,,,
