"('SEC', 67)","('Big Ten', 78.5)","('Big 12', 99)","('ACC', 83.5)","('Pac-12', 50)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Texas', 3)","('Florida St', 5)","('Washington', 7)","('Notre Dame', 11)","('Fresno St', 25)","('Tulane', 33)"
"('Alabama', 12)","('Ohio State', 4)","('Oklahoma', 14)","('North Carolina', 15)","('USC', 8)",,"('Air Force', 35.5)",
"('LSU', 13)","('Penn State', 6)","('Kansas', 24)","('Duke', 17)","('Oregon', 9)",,,
"('Ole Miss', 20)","('Maryland', 31)","('Kansas St', 26)","('Miami', 18)","('Utah', 10)",,,
"('Tennessee', 21)","('Wisconsin', 35.5)","('TCU', 32)","('Louisville', 28.5)","('Washington St', 16)",,,
"('Florida', 22)",,,"('Syracuse', 34)","('Oregon St', 19)",,,
"('Missouri', 23)",,,"('Clemson', 37.5)","('Colorado', 28.5)",,,
"('Kentucky', 27)",,,,"('UCLA', 30)",,,
"('Texas A&M', 37.5)",,,,,,,
