"('SEC', 64)","('Big Ten', 73)","('Big 12', 107)","('ACC', 85)","('Pac-12', 48)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Texas', 3)","('Florida St', 4)","('USC', 5)","('Notre Dame', 9)","('Fresno St', 30)","('Tulane', 32)"
"('LSU', 12)","('Ohio State', 6)","('Oklahoma', 16)","('North Carolina', 17)","('Washington', 8)",,,
"('Alabama', 13)","('Penn State', 7)","('Kansas St', 28)","('Duke', 18)","('Oregon', 10)",,,
"('Ole Miss', 15)","('Iowa', 24)","('TCU', 29)","('Miami', 20)","('Utah', 11)",,,
"('Tennessee', 23)","('Maryland', 34)","('Kansas', 31)","('Clemson', 26)","('Oregon St', 14)",,,
"('Florida', 25)","('Wisconsin', 36.5)","('BYU', 35)","('Syracuse', 36.5)","('Colorado', 19)",,,
"('Missouri', 27)",,,"('Louisville', 38.5)","('Washington St', 21)",,,
"('Kentucky', 33)",,,,"('UCLA', 22)",,,
"('Auburn', 38.5)",,,,,,,
