"('Big 12', np.int64(34))","('Big East', np.int64(75))","('Big Ten', np.int64(67))","('SEC', np.int64(33))","('ACC', np.int64(56))","('Pac-10', np.int64(72))","('WAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')"
"('Missouri', 1)","('West Virginia', 2)","('Ohio State', 3)","('Georgia', 4)","('Virginia Tech', 6)","('USC', 8)","('Hawaii', 11)","('BYU', 21)","('UCF', 32)","('Troy', 34)"
"('Kansas', 7)","('Cincinnati', 20)","('Illinois', 15)","('LSU', 5)","('Boston College', 12)","('Arizona State', 13)","('Boise State', 24)","('Air Force', 29)","('Tulsa', 36)",
"('Oklahoma', 9)","('South Florida', 25)","('Wisconsin', 19)","('Florida', 10)","('Clemson', 16)","('Oregon', 18)",,,,
"('Texas', 17)","('Connecticut', 28)","('Michigan', 30)","('Tennessee', 14)","('Virginia', 22)","('Oregon State', 33)",,,,
"('Texas Tech', 27)",,"('Penn State', 35)","('Auburn', 23)","('Wake Forest', 37)",,,,,
,,,"('Arkansas', 26)",,,,,,
,,,"('Kentucky', 31)",,,,,,
