AP_XC_5_Team_Race,Pac-10,SEC,Big East,Big 12,Big Ten,ACC,Mountain West,WAC,CUSA,FBS Indep.,Southern,Sun Belt,MVC
Preseason,89,54,,83,87,114,,,,,,,
Week 2,84,52,,78.5,,109,,,,,,,
Week 3,68,62,86,75,103,109,,,,,,,
Week 4,78,54,86,80,98,108,,,,,,,
Week 5,70,51,93,85,92,103,,,,,,,
Week 6,67,41,94,95,92,97,,,,,,,
Week 7,78,60,94,86,96,107,,,,,,,
Week 8,,51,101,76.0,110,108,,,,,,,
Week 9,65.5,61.5,111,79,116,89,,,,,,,
Week 10,85,67,,70,104,88.5,,,,,,,
Week 11,,68,,,109,88,,,,,,,
Week 12,,64,,,100,,,,,,,,
Week 13,93,63,,54,109,93,,,,,,,
Week 14,,56,,61,102,93,,,,,,,
Week 15,,53,,61,97,90,,,,,,,
Week 16,,,,,,,,,,,,,
Final,,43,133,51.5,94,95.5,,,,,,,
