"('SEC', 48)","('Big Ten', 64)","('ACC', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 'DNS')","('Pac-12', 98)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Clemson', 4)","('Notre Dame', 5)","('West Virginia', 6)","('Washington', 7)","('UCF', 10)","('San Diego State', 29)","('Appalachian St', 31)"
"('Georgia', 2)","('Penn State', 8)","('Miami', 16)",,"('Texas', 9)","('Oregon', 17)","('USF', 23)","('Utah State', 32)",
"('LSU', 13)","('Michigan', 12)","('NC State', 20)",,"('Oklahoma', 11)","('Colorado', 19)","('Cincinnati', 25)","(""Hawai'i"", 35)",
"('Florida', 14)","('Wisconsin', 15)",,,"('TCU', 30)","('Stanford', 27)",,,
"('Kentucky', 18)","('Iowa', 26)",,,,"('Washington St', 28)",,,
"('Auburn', 21)",,,,,"('Utah', 33)",,,
"('Texas A&M', 22)",,,,,,,,
"('Miss St', 24)",,,,,,,,
"('S Carolina', 34)",,,,,,,,
