"('SEC', 32)","('ACC', 88)","('Big Ten', 75.5)","('Big 12', 82)","('Pac-12', 96.5)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Clemson', 3)","('Ohio State', 4)","('Oklahoma', 5)","('Stanford', 7)","('Notre Dame', 8)","('UCF', 16)","('Boise State', 27)","('North Texas', 39.5)"
"('Georgia', 2)","('VT', 13)","('Penn State', 10.5)","('West Virginia', 12)","('Washington', 10.5)","('BYU', 25)","('USF', 32)","('San Diego State', 38)",
"('LSU', 6)","('Miami', 21)","('Wisconsin', 18)","('Oklahoma State', 15)","('Oregon', 20)",,,,
"('Auburn', 9)","('Boston College', 23)","('Michigan', 19)","('TCU', 17)","('Colorado', 29)",,,,
"('Miss St', 14)","('Duke', 28)","('Mich. St.', 24)","('Texas', 33)","('Cal', 30)",,,,
"('Texas A&M', 22)","('NC State', 34)","('Iowa', 26)",,"('Arizona State', 35)",,,,
"('Kentucky', 31)","('Syracuse', 41.5)",,,"('Utah', 37)",,,,
"('Missouri', 36)",,,,"('Washington St', 41.5)",,,,
"('S Carolina', 39.5)",,,,,,,,
