"('SEC', 39)","('ACC', 98)","('Big Ten', 65)","('Big 12', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 84)","('Mountain West', 'DNS')","('American', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Ohio State', 4)","('Oklahoma', 5)","('Notre Dame', 8)","('Stanford', 9)","('Boise State', 17)","('UCF', 18)"
"('Georgia', 3)","('VT', 13)","('Wisconsin', 6)","('West Virginia', 14)",,"('Washington', 10)","(""Hawai'i"", 36.5)","('Houston', 29)"
"('Auburn', 7)","('Miami', 21)","('Penn State', 11)","('TCU', 15)",,"('Oregon', 20)",,"('USF', 39)"
"('LSU', 12)","('Boston College', 28)","('Michigan', 19)","('Oklahoma State', 24)",,"('USC', 22)",,
"('Miss St', 16)","('Duke', 34)","('Mich. St.', 25)",,,"('Arizona State', 23)",,
"('Texas A&M', 27)","('NC State', 35)","('Maryland', 30)",,,"('Utah', 26)",,
"('Kentucky', 33)","('FSU', 41)","('Iowa', 32)",,,"('Colorado', 31)",,
"('Ole Miss', 36.5)",,,,,"('Washington St', 38)",,
"('S Carolina', 40)",,,,,,,
