"('ACC', 'DNS')","('SEC', 35.0)","('Big Ten', 80)","('Big 12', 101)","('FBS Indep.', 'DNS')","('Pac-12', 112)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 3)","('Oklahoma', 4)","('Notre Dame', 5)","('Washington St', 10)","('UCF', 11)","('Fresno State', 18)","('Appalachian St', 26)","('UAB', 30)"
"('Syracuse', 15)","('LSU', 6)","('Michigan', 14)","('Texas', 9)","('Army', 19)","('Washington', 13)","('Cincinnati', 24)","('Utah State', 22)","('Troy', 35.5)",
"('NC State', 38.5)","('Florida', 7.5)","('Penn State', 17)","('West Virginia', 20)",,"('Stanford', 27)",,"('Boise State', 23)","('Ga Southern', 35.5)",
,"('Georgia', 7.5)","('Northwestern', 21)","('Iowa State', 31)",,"('Utah', 29)",,,,
,"('Kentucky', 12)","('Iowa', 25)","('Oklahoma State', 37)",,"('Oregon', 33)",,,,
,"('Texas A&M', 16)","('Wisconsin', 38.5)",,,,,,,
,"('Miss St', 28)",,,,,,,,
,"('Auburn', 32)",,,,,,,,
,"('Missouri', 34)",,,,,,,,
