"('Pac-10', np.int64(54))","('WAC', 'DNS')","('Big 12', np.int64(52))","('Mountain West', 'DNS')","('SEC', np.int64(37))","('Big Ten', np.int64(42))","('ACC', np.int64(94))","('Big East', 'DNS')","('CUSA', 'DNS')"
"('Oregon', 1)","('Boise State', 2)","('Oklahoma', 3)","('TCU', 4)","('Auburn', 5)","('Michigan State', 8)","('Florida State', 16)","('West Virginia', 20)","('East Carolina', 38)"
"('Stanford', 12)","('Nevada', 28)","('Nebraska', 14)","('Utah', 9)","('LSU', 6)","('Wisconsin', 10)","('Virginia Tech', 23)",,
"('Arizona', 15)","('Hawaii', 29)","('Oklahoma State', 17)","('Air Force', 37)","('Alabama', 7)","('Ohio State', 11)","('Miami (FL)', 25)",,
"('USC', 26)",,"('Missouri', 18)",,"('South Carolina', 19)","('Iowa', 13)","('North Carolina', 30)",,
"('Oregon State', 34)",,"('Texas', 22)",,"('Arkansas', 21)","('Northwestern', 31)","('Georgia Tech', 33)",,
"('Washington', 40)",,"('Kansas State', 27)",,"('Mississippi State', 24)","('Michigan', 32)","('NC State', 36)",,
,,"('Baylor', 35)",,"('Kentucky', 39)",,,,
