AP_XC_4_Team_Race,SEC,Big Ten,WAC,Big 12,Mountain West,ACC,Pac-10,Big East,CUSA,FBS Indep.,MAC,Sun Belt,Other
Preseason,43,42,,53,,57,76,97,,,,,
Week 2,42,40,,55,,57,77,,,,,,
Week 3,36,42,,52,,112,66,,,,,,
Week 4,32,52,,52,,114,55,,,,,,
Week 5,30,49,,63,,98,45,,,,,,
Week 6,32,52,,59,,105,56,,,,,,
Week 7,34,47,,52,,100,57,,,,,,
Week 8,37,42,,52,,94,54,,,,,,
Week 9,38,42,,52,,96,53,,,,,,
Week 10,37,46,,53,,96,52,,,,,,
Week 11,32,37,,60,,110,52,,,,,,
Week 12,30,46,,52,,93,51,,,,,,
Week 13,29,48,,55,,86,57,,,,,,
Week 14,38,52,,54,90,92,,,,,,,
Week 15,35,,80,56,90,,,,,,,,
Week 16,,,,,,,,,,,,,
Final,31,53,,56,91,81,,,,,,,
