"('Big East', 'DNS')","('Big 12', np.int64(33))","('Big Ten', np.int64(58))","('SEC', np.int64(44))","('Pac-10', np.int64(55))","('FBS Indep.', 'DNS')","('ACC', 'DNS')","('Mountain West', 'DNS')"
"('Miami (FL)', 1)","('Texas', 2)","('Ohio State', 5)","('Florida', 6)","('Oregon', 8)","('Notre Dame', 9)","('Florida State', 11)","('Colorado State', 25)"
"('Virginia Tech', 4)","('Oklahoma', 3)","('Michigan', 14)","('Georgia', 7)","('Washington', 12)",,"('NC State', 16)",
,"('Kansas State', 13)","('Wisconsin', 19)","('Tennessee', 10)","('Washington State', 17)",,,
,"('Iowa State', 15)","('Penn State', 20)","('LSU', 21)","('USC', 18)",,,
,"('Texas A&M', 23)","('Iowa', 24)","('Alabama', 22)",,,,
