"('Big East', np.int64(61))","('Big Ten', np.int64(27))","('SEC', np.int64(58))","('Pac-10', 'DNS')","('Big 12', np.int64(37))","('FBS Indep.', 'DNS')","('ACC', 'DNS')","('WAC', 'DNS')","('Mountain West', 'DNS')"
"('Miami (FL)', 1)","('Ohio State', 2)","('Georgia', 4)","('USC', 5)","('Kansas State', 6)","('Notre Dame', 11)","('Florida State', 16)","('Boise State', 18)","('Colorado State', 23)"
"('West Virginia', 15)","('Iowa', 3)","('Alabama', 13)","('Washington State', 7)","('Oklahoma', 8)",,"('NC State', 17)",,
"('Virginia Tech', 21)","('Penn State', 10)","('Auburn', 19)",,"('Texas', 9)",,"('Maryland', 20)",,
"('Pittsburgh', 24)","('Michigan', 12)","('Florida', 22)",,"('Colorado', 14)",,,,
,,"('Arkansas', 25)",,,,,,
