"('Big East', 'DNS')","('Big 12', np.int64(39))","('ACC', 'DNS')","('Big Ten', np.int64(53))","('SEC', np.int64(48))","('Pac-10', np.int64(56))","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')"
"('Miami (FL)', 1)","('Oklahoma', 2)","('Florida State', 4)","('Ohio State', 6)","('Florida', 7)","('Oregon', 9)","('Notre Dame', 10)","('Colorado State', 25)"
"('Virginia Tech', 5)","('Texas', 3)","('NC State', 17)","('Penn State', 12)","('Georgia', 8)","('Washington', 13)",,
,"('Kansas State', 15)",,"('Michigan', 14)","('Tennessee', 11)","('Washington State', 16)",,
,"('Iowa State', 19)",,"('Wisconsin', 21)","('LSU', 22)","('USC', 18)",,
,"('Nebraska', 20)",,,,"('Oregon State', 23)",,
,"('Texas A&M', 24)",,,,"('UCLA', 26)",,
,,,,,"('California', 27)",,
