AP_XC_4_Team_Race,Big East,Big 12,ACC,SEC,Pac-10,Big Ten,CUSA,MAC,Mountain West,WAC,FBS Indep.,Sun Belt
Preseason,90,23,86,33,55,67,,,,,,
Week 2,,20.5,,32,58,65,,,,,,
Week 3,,31,,42,56,55,,,,,,
Week 4,,31,,50,54,50,,,,,,
Week 5,,42,,46,49,57,,,,,,
Week 6,,39,,48,56,53,,,,,,
Week 7,,33,,44,55,58,,,,,,
Week 8,,35,,50,61,50,,,,,,
Week 9,,36,,56,57,50,,,,,,
Week 10,,46,,50,61,43,,,,,,
Week 11,,36,,59,54,50,,,,,,
Week 12,,35,,57,55,41,,,,,,
Week 13,,37.0,,51,62,36,,,,,,
Week 14,,41,,55,,34,,,,,,
Week 15,64,34,,52,,29,,,,,,
Week 16,,35,,58,,28,,,,,,
Final,64,38,68,54,,34,,,,,,
