"('Big East', 'DNS')","('Big 12', np.int64(36))","('FBS Indep.', 'DNS')","('SEC', np.int64(59))","('Big Ten', np.int64(50))","('Pac-10', np.int64(54))","('ACC', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')"
"('Miami (FL)', 1)","('Oklahoma', 2)","('Notre Dame', 4)","('Georgia', 5)","('Ohio State', 6)","('Washington State', 8)","('NC State', 10)","('Bowling Green', 21)","('Colorado State', 24)"
"('Virginia Tech', 3)","('Texas', 7)",,"('Alabama', 12)","('Iowa', 9)","('USC', 11)","('Florida State', 18)",,
,"('Colorado', 13)",,"('LSU', 17)","('Michigan', 15)","('Arizona State', 16)",,,
,"('Kansas State', 14)",,"('Tennessee', 25)","('Penn State', 20)","('Oregon', 19)",,,
,"('Iowa State', 22)",,,"('Minnesota', 23)",,,,
