AP_XC_4_Team_Race,SEC,Big Ten,ACC,FBS Indep.,Big 12,Mountain West,American,MAC,Sun Belt,CUSA
Preseason,23.0,24.0,59.0,,73.0,,162.0,,,
Week 2,24.0,20.0,44.0,,77.0,,153.0,,,
Week 3,27.0,16.0,55.0,,81.0,,135.5,,,
Week 4,26.0,18.0,62.0,,71.0,,,,,
Week 5,25.0,21.0,57.5,,75.0,,,,,
Week 6,24.0,18.0,62.0,,73.0,,,,,
Week 7,,,,,,,,,,
Week 8,,,,,,,,,,
Week 9,,,,,,,,,,
Week 10,,,,,,,,,,
Week 11,,,,,,,,,,
Week 12,,,,,,,,,,
Week 13,,,,,,,,,,
Week 14,,,,,,,,,,
Week 15,,,,,,,,,,
Week 16,,,,,,,,,,
Final,,,,,,,,,,
