AP_XC_5_Team_Race,Big Ten,FBS Indep.,Big 12,SEC,Big East,Pac-10,ACC,Mountain West,WAC,CUSA,MAC
Preseason,81,,93,57,,103,86,,,,
Week 2,71,,95,42.5,,98,89,,,,
Week 3,85,,100,39,,95,89,,,,
Week 4,75,,113,41,,88,95,,,,
Week 5,79,,100,41,,100,98,,,,
Week 6,87,,92,39,,91,96,,,,
Week 7,75,,103,51,,91,100,,,,
Week 8,86,,89,53,,,101,,,,
Week 9,90,,89,51,,,102,,,,
Week 10,86,,100,46,,99,100,,,,
Week 11,,,,47,,96,102,,,,
Week 12,,,109,54,,,92,,,,
Week 13,,,,51,,,95,,,,
Week 14,,,,46.0,,,109.5,,,,
Week 15,,,,45,,,111,,,,
Week 16,,,,,,,,,,,
Final,,,,51,,,116,,,,
