"('Big Ten', np.int64(75))","('SEC', np.int64(51))","('Pac-10', np.int64(91))","('Big East', 'DNS')","('Big 12', np.int64(103))","('FBS Indep.', 'DNS')","('ACC', np.int64(100))","('WAC', 'DNS')","('Mountain West', 'DNS')"
"('Ohio State', 1)","('Florida', 2)","('USC', 3)","('West Virginia', 5)","('Texas', 6)","('Notre Dame', 9)","('Clemson', 12)","('Boise State', 20)","('BYU', 35)"
"('Michigan', 4)","('Tennessee', 8)","('California', 10)","('Louisville', 7)","('Missouri', 19)",,"('Georgia Tech', 13)",,
"('Iowa', 15)","('Auburn', 11)","('Oregon', 18)","('Rutgers', 24)","('Nebraska', 21)",,"('Virginia Tech', 22)",,
"('Wisconsin', 25)","('LSU', 14)","('UCLA', 29)","('Pittsburgh', 32)","('Oklahoma', 23)",,"('Boston College', 26)",,
"('Penn State', 30)","('Georgia', 16)","('Washington', 31)",,"('Texas Tech', 34)",,"('Florida State', 27)",,
,"('Arkansas', 17)",,,,,"('Miami (FL)', 28)",,
,,,,,,"('NC State', 33)",,
,,,,,,"('Wake Forest', 36)",,
