"('Big 12', 'DNS')","('Big East', 'DNS')","('ACC', 'DNS')","('Big Ten', 'DNS')","('Pac-10', np.int64(78))","('SEC', np.int64(82))","('WAC', 'DNS')","('CUSA', 'DNS')","('FBS Indep.', 'DNS')"
"('Nebraska', 1)","('Virginia Tech', 3)","('Clemson', 5)","('Ohio State', 6)","('Oregon', 9)","('Florida', 10)","('TCU', 12)","('Southern Miss', 16)","('Notre Dame', 20)"
"('Kansas State', 2)","('Miami (FL)', 4)","('Florida State', 7)","('Northwestern', 17)","('Washington', 11)","('Georgia', 14)",,,
"('Oklahoma', 8)",,,"('Michigan', 18)","('UCLA', 13)","('Mississippi State', 15)",,,
"('Texas', 25)",,,"('Purdue', 21)","('Arizona', 22)","('Auburn', 19)",,,
,,,,"('Oregon State', 23)","('South Carolina', 24)",,,
