AP_XC_5_Team_Race,Big 12,ACC,SEC,Big Ten,Big East,Pac-10,WAC,CUSA,Mountain West,FBS Indep.,MAC,Big West
Preseason,59,,52,61,,131,,,,,,
Week 2,58,,53,62,,,,,,,,
Week 3,,,61,61,,,,,,,,
Week 4,,,79,56,,,,,,,,
Week 5,,,85,71,,,,,,,,
Week 6,,,81,78,,,,,,,,
Week 7,,,87,86,,79,,,,,,
Week 8,,,82,,,78,,,,,,
Week 9,,,77,94,,79,,,,,,
Week 10,,,83,,,,,,,,,
Week 11,69,,86,,,,,,,,,
Week 12,63,,77,91,,,,,,,,
Week 13,52,,90,,,,,,,,,
Week 14,53,,90,,,,,,,,,
Week 15,,,,,,,,,,,,
Week 16,,,,,,,,,,,,
Final,55,,89,104,,,,,,,,
