"('SEC', 33)","('Big Ten', 43)","('ACC', 68)","('Pac-12', 37)","('Big 12', 68)","('American', 'DNS')","('Sun Belt', 'DNS')","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('Washington', 5)","('Texas', 7)","('Tulane', 17)","('James Madison', 18)","('Notre Dame', 20)","('Liberty', 25)","('Toledo', 28)","('Fresno St', 29)"
"('Alabama', 8)","('Ohio State', 3)","('Louisville', 9)","('Oregon', 6)","('Oklahoma', 14)","('SMU', 31.5)",,,,"('Miami OH', 34.5)","('UNLV', 31.5)"
"('Missouri', 11)","('Penn State', 12)","('North Carolina', 22)","('Oregon St', 10)","('Kansas St', 23)",,,,,,
"('Ole Miss', 13)","('Iowa', 26)","('NC State', 33)","('Utah', 16)","('Oklahoma St', 24)",,,,,,
"('LSU', 15)",,,"('Arizona', 19)","('Kansas', 27)",,,,,,
"('Tennessee', 21)",,,"('USC', 30)",,,,,,,
"('Texas A&M', 34.5)",,,,,,,,,,
