"('SEC', 37)","('Big Ten', 48.5)","('ACC', 59)","('Pac-12', 37)","('Big 12', 72)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('Washington', 5)","('Oklahoma', 6)","('Notre Dame', 14)","('Air Force', 19)","('Tulane', 22)","('James Madison', 25)","('Liberty', 27)","('Toledo', 32)"
"('Alabama', 9)","('Ohio State', 3)","('North Carolina', 17)","('Oregon', 8)","('Texas', 7)",,"('Fresno St', 30)",,,,
"('Ole Miss', 12)","('Penn State', 10)","('Louisville', 18)","('Oregon St', 11)","('Kansas St', 28)",,"('UNLV', 35.5)",,,,
"('LSU', 15)","('Rutgers', 33.5)","('Duke', 20)","('Utah', 13)","('Oklahoma St', 31)",,,,,,
"('Missouri', 16)","('Wisconsin', 35.5)","('Miami', 29)","('UCLA', 23)",,,,,,,
"('Tennessee', 21)",,,"('USC', 24)",,,,,,,
"('Florida', 26)",,,,,,,,,,
"('Kentucky', 33.5)",,,,,,,,,,
