"('SEC', 33)","('Big Ten', 46)","('ACC', 73)","('Pac-12', 36)","('Big 12', 58)","('American', 'DNS')","('Sun Belt', 'DNS')","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('Washington', 5)","('Texas', 7)","('Tulane', 20)","('James Madison', 21)","('Notre Dame', 22)","('Liberty', 25)","('Fresno St', 26.5)","('Toledo', 30)"
"('Alabama', 8)","('Ohio State', 3)","('Louisville', 11)","('Oregon', 6)","('Oklahoma St', 15)","('SMU', 33)",,,,"('Air Force', 29)",
"('Ole Miss', 10)","('Penn State', 9)","('North Carolina', 24)","('Oregon St', 12)","('Oklahoma', 17)",,,,,,
"('Tennessee', 14)","('Iowa', 32)","('Duke', 34)","('Utah', 13)","('Kansas', 19)",,,,,,
"('Missouri', 16)",,"('Clemson', 37.0)","('Arizona', 23)","('Kansas St', 26.5)",,,,,,
"('LSU', 18)",,"('NC State', 37.0)","('USC', 28)","('West Virginia', 35)",,,,,,
"('Texas A&M', 37.0)",,,"('UCLA', 31)",,,,,,,
