"('SEC', 29)","('Big Ten', 36)","('Pac-12', 43.5)","('ACC', 67.5)","('Big 12', 66)","('FBS Indep.', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Washington', 3)","('Florida St', 4)","('Texas', 7)","('Notre Dame', 16)","('Tulane', 17)","('Liberty', 20)","('Toledo', 23)","('James Madison', 24)"
"('Alabama', 8)","('Ohio State', 6)","('Oregon', 5)","('Louisville', 15)","('Oklahoma', 12)",,"('SMU', 25)","('New Mexico St', 32)","('Miami OH', 35.0)","('Troy', 30)"
"('Missouri', 9)","('Penn State', 10)","('Arizona', 14)","('NC State', 21.5)","('Oklahoma St', 19)",,"('Memphis', 35.0)",,,
"('Ole Miss', 11)","('Iowa', 18)","('Oregon St', 21.5)","('Clemson', 27)","('Kansas St', 28)",,,,,
"('LSU', 13)",,"('Utah', 29)","('North Carolina', 35.0)","('Kansas', 31)",,,,,
"('Tennessee', 26)",,,,,,,,,
"('Kentucky', 33)",,,,,,,,,
