"('Big Ten', 38)","('Pac-12', 45)","('Big 12', 66)","('ACC', 65)","('SEC', 31)","('FBS Indep.', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('MAC', 'DNS')"
"('Michigan', 1)","('Washington', 2)","('Texas', 3)","('Florida St', 4)","('Alabama', 5)","('Notre Dame', 15)","('SMU', 17)","('Liberty', 18)","('James Madison', 24)","('Miami OH', 30)"
"('Ohio State', 7)","('Oregon', 8)","('Oklahoma', 12)","('Louisville', 16)","('Georgia', 6)",,"('Tulane', 23)",,"('Troy', 27)","('Toledo', 31)"
"('Penn State', 10)","('Arizona', 14)","('Oklahoma St', 22)","('NC State', 19)","('Missouri', 9)",,,,,
"('Iowa', 20)","('Oregon St', 21)","('Kansas St', 29)","('Clemson', 26)","('Ole Miss', 11)",,,,,
,"('Utah', 28)","('Kansas', 32)",,"('LSU', 13)",,,,,
,,,,"('Tennessee', 25)",,,,,
,,,,"('Kentucky', 33)",,,,,
