"('SEC', 48)","('Big Ten', 38)","('Big 12', 75.5)","('ACC', 55)","('Pac-12', 37)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Texas', 3)","('Florida St', 5)","('Washington', 7)","('Notre Dame', 10)","('Fresno St', 24)","('Tulane', 30)","('James Madison', 35.5)"
"('Alabama', 11)","('Ohio State', 4)","('Oklahoma', 12)","('North Carolina', 14)","('Oregon', 8)",,"('Air Force', 31)",,
"('Ole Miss', 16)","('Penn State', 6)","('Kansas St', 27)","('Miami', 17)","('USC', 9)",,,,
"('Kentucky', 20)","('Maryland', 26)","('West Virginia', 33.5)","('Duke', 19)","('Washington St', 13)",,,,
"('Missouri', 21)","('Wisconsin', 32)","('Kansas', 35.5)","('Louisville', 25)","('Oregon St', 15)",,,,
"('Tennessee', 22)",,,"('Clemson', 33.5)","('Utah', 18)",,,,
"('LSU', 23)",,,,"('UCLA', 29)",,,,
"('Texas A&M', 28)",,,,"('Colorado', 37)",,,,
