"('SEC', 33)","('Big Ten', 47)","('ACC', 76)","('Pac-12', 45)","('Big 12', 64)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('Washington', 5)","('Texas', 7)","('Notre Dame', 12)","('Air Force', 17)","('Tulane', 21)","('James Madison', 23)","('Liberty', 28)","('Toledo', 32)"
"('Alabama', 8)","('Ohio State', 3)","('Louisville', 15)","('Oregon', 6)","('Oklahoma', 10)",,"('Fresno St', 29)",,,,
"('Ole Miss', 11)","('Penn State', 9)","('North Carolina', 27)","('Oregon St', 16)","('Kansas', 22)",,,,,,
"('LSU', 13)","('Rutgers', 33)","('Miami', 30)","('Utah', 18)","('Kansas St', 25)",,,,,,
"('Missouri', 14)",,,"('UCLA', 20)","('Oklahoma St', 26)",,,,,,
"('Tennessee', 19)",,,"('USC', 24)",,,,,,,
,,,"('Arizona', 31)",,,,,,,
