"('Big Ten', 'DNS')","('SEC', 39)","('Big 12', 98)","('FBS Indep.', 'DNS')","('ACC', 93)","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')","('Sun Belt', 'DNS')"
"('Oregon', 1)","('Texas', 3)","('BYU', 7)","('Notre Dame', 8)","('Miami', 12)","('Boise St', 13)","('Army', 16)","('Washington St', 19)","('Louisiana', 29)"
"('Ohio State', 2)","('Tennessee', 6)","('Colorado', 18)",,"('SMU', 14)","('UNLV', 30)","('Tulane', 25)",,
"('Penn State', 4)","('Alabama', 9)","('Kansas St', 20)",,"('Clemson', 17)",,,,
"('Indiana', 5)","('Ole Miss', 10)","('Iowa State', 26)",,"('Louisville', 22)",,,,
,"('Georgia', 11)","('Arizona St', 27)",,"('Pitt', 28)",,,,
,"('Texas A&M', 15)",,,,,,,
,"('LSU', 21)",,,,,,,
,"('South Carolina', 23)",,,,,,,
,"('Missouri', 24)",,,,,,,
