"('Big East', 'DNS')","('SEC', np.int64(42))","('Big 12', np.int64(24))","('ACC', 'DNS')","('Pac-10', np.int64(56))","('WAC', 'DNS')","('Big Ten', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Miami (FL)', 1)","('Florida', 2)","('Oklahoma', 3)","('Florida State', 6)","('Oregon', 7)","('Fresno State', 11)","('Northwestern', 16)","('Notre Dame', 23)","('BYU', 24)","('Louisville', 25)"
"('Virginia Tech', 9)","('Tennessee', 8)","('Nebraska', 4)","('Georgia Tech', 10)","('Washington', 13)",,"('Michigan', 20)",,,
,"('LSU', 15)","('Texas', 5)","('Clemson', 19)","('UCLA', 14)",,"('Ohio State', 21)",,,
,"('Mississippi State', 17)","('Kansas State', 12)",,"('Oregon State', 22)",,,,,
,"('South Carolina', 18)",,,,,,,,
