"('Big East', 'DNS')","('SEC', np.int64(38))","('Big 12', np.int64(29))","('Pac-10', np.int64(48))","('ACC', 'DNS')","('Big Ten', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('WAC', 'DNS')","('CUSA', 'DNS')"
"('Miami (FL)', 1)","('Florida', 2)","('Texas', 3)","('Oregon', 4)","('Maryland', 7)","('Illinois', 8)","('BYU', 10)","('Marshall', 20)","('Fresno State', 21)","('Louisville', 24)"
"('Virginia Tech', 14)","('Tennessee', 5)","('Nebraska', 6)","('Stanford', 12)",,"('Michigan', 17)",,,,
"('Syracuse', 18)","('South Carolina', 15)","('Colorado', 9)","('Washington State', 13)",,"('Ohio State', 23)",,,,
,"('Georgia', 16)","('Oklahoma', 11)","('Washington', 19)",,,,,,
,"('LSU', 22)",,,,,,,,
,"('Auburn', 25)",,,,,,,,
