"('Big East', 'DNS')","('Big 12', np.int64(34))","('SEC', np.int64(46))","('Big Ten', 'DNS')","('Pac-10', np.int64(38))","('Mountain West', 'DNS')","('ACC', np.int64(74))"
"('Miami (FL)', 1)","('Nebraska', 2)","('Florida', 4)","('Michigan', 6)","('Oregon', 8)","('BYU', 13)","('Florida State', 14)"
"('Virginia Tech', 12)","('Oklahoma', 3)","('Tennessee', 7)","('Purdue', 20)","('UCLA', 9)",,"('Maryland', 15)"
"('Syracuse', 19)","('Texas', 5)","('South Carolina', 17)","('Illinois', 21)","('Stanford', 10)",,"('North Carolina', 22)"
,"('Texas A&M', 24)","('Georgia', 18)",,"('Washington', 11)",,"('Georgia Tech', 23)"
,"('Colorado', 25)",,,"('Washington State', 16)",,
