"('Big East', 'DNS')","('Big 12', np.int64(25))","('SEC', np.int64(49))","('Pac-10', np.int64(45))","('Mountain West', 'DNS')","('ACC', 'DNS')","('Big Ten', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Miami (FL)', 1)","('Nebraska', 2)","('Florida', 4)","('Oregon', 7)","('BYU', 8)","('Maryland', 10)","('Michigan', 11)","('Louisville', 19)","('Marshall', 24)"
"('Syracuse', 14)","('Oklahoma', 3)","('Tennessee', 6)","('Washington State', 9)",,"('Florida State', 21)","('Illinois', 12)",,
"('Virginia Tech', 18)","('Texas', 5)","('Auburn', 17)","('Stanford', 13)",,,"('Ohio State', 25)",,
,"('Colorado', 15)","('South Carolina', 22)","('Washington', 16)",,,,,
,,"('Georgia', 23)","('UCLA', 20)",,,,,
