"('Big East', 'DNS')","('Big 12', np.int64(31))","('SEC', np.int64(43))","('Pac-10', np.int64(42))","('Mountain West', 'DNS')","('ACC', 'DNS')","('Big Ten', 'DNS')","('CUSA', 'DNS')"
"('Miami (FL)', 1)","('Nebraska', 2)","('Florida', 4)","('Oregon', 7)","('BYU', 9)","('Florida State', 10)","('Michigan', 12)","('Louisville', 25)"
"('Syracuse', 18)","('Oklahoma', 3)","('Tennessee', 6)","('Washington', 8)",,"('Maryland', 13)","('Illinois', 15)",
"('Virginia Tech', 23)","('Texas', 5)","('South Carolina', 14)","('Washington State', 11)",,"('Georgia Tech', 20)","('Michigan State', 22)",
,"('Colorado', 21)","('Georgia', 19)","('Stanford', 16)",,,,
,,"('Auburn', 24)","('UCLA', 17)",,,,
