AP_XC_5_Team_Race,SEC,Big East,Big 12,ACC,Pac-10,Big Ten,FBS Indep.,Mountain West,CUSA,MAC,WAC
Preseason,64,145,52,,79,99,,,,,
Week 2,64,,,,,,,,,,
Week 3,62,,,,,,,,,,
Week 4,60,,,,,,,,,,
Week 5,59,,,,,102,,,,,
Week 6,66,,48,,75,107,,,,,
Week 7,69,,62,,,,,,,,
Week 8,71,,,,,,,,,,
Week 9,59,,,,62,,,,,,
Week 10,,,59,,54,,,,,,
Week 11,67,,,,59,,,,,,
Week 12,72,,,,65,,,,,,
Week 13,71,,,,73,,,,,,
Week 14,60,,,,,,,,,,
Week 15,59,,,,,,,,,,
Week 16,55,,,,,,,,,,
Final,49,90,,113,84,,,,,,
