"('Big East', 'DNS')","('Big 12', 'DNS')","('Pac-10', np.int64(62))","('SEC', np.int64(59))","('Big Ten', 'DNS')","('ACC', 'DNS')","('Mountain West', 'DNS')","('WAC', 'DNS')"
"('Miami (FL)', 1)","('Oklahoma', 2)","('UCLA', 4)","('Florida', 6)","('Michigan', 8)","('Maryland', 10)","('BYU', 16)","('Fresno State', 18)"
"('Virginia Tech', 5)","('Nebraska', 3)","('Oregon', 11)","('Tennessee', 9)","('Illinois', 22)","('Florida State', 19)",,
,"('Texas', 7)","('Washington', 13)","('South Carolina', 12)","('Purdue', 24)","('Georgia Tech', 21)",,
,"('Colorado', 25)","('Washington State', 14)","('Georgia', 15)",,"('North Carolina', 23)",,
,,"('Stanford', 20)","('Auburn', 17)",,,,
