"('Big East', 'DNS')","('Pac-10', 'DNS')","('Big 12', 'DNS')","('SEC', np.int64(55))","('ACC', 'DNS')","('Big Ten', 'DNS')","('Mountain West', 'DNS')","('WAC', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Miami (FL)', 1)","('Oregon', 2)","('Colorado', 3)","('Florida', 5)","('Maryland', 6)","('Illinois', 7)","('BYU', 19)","('Fresno State', 20)","('Louisville', 23)","('Toledo', 25)"
"('Virginia Tech', 15)","('Stanford', 11)","('Nebraska', 4)","('Tennessee', 8)","('Florida State', 24)","('Michigan', 17)",,,,
"('Syracuse', 18)","('Washington State', 13)","('Texas', 9)","('LSU', 12)",,"('Ohio State', 22)",,,,
,"('Washington', 21)","('Oklahoma', 10)","('South Carolina', 14)",,,,,,
,,,"('Georgia', 16)",,,,,,
