"('Big East', 'DNS')","('Big 12', 'DNS')","('Pac-10', 'DNS')","('SEC', np.int64(71))","('WAC', 'DNS')","('Big Ten', 'DNS')","('ACC', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Miami (FL)', 1)","('Oklahoma', 2)","('UCLA', 4)","('Florida', 7)","('Fresno State', 8)","('Michigan', 10)","('Maryland', 12)","('BYU', 18)","('Toledo', 25)"
"('Virginia Tech', 6)","('Nebraska', 3)","('Oregon', 5)","('Tennessee', 11)",,"('Northwestern', 22)","('Clemson', 13)",,
,"('Texas', 9)","('Washington', 15)","('South Carolina', 16)",,"('Purdue', 24)","('Florida State', 21)",,
,"('Colorado', 14)","('Washington State', 19)","('Georgia', 17)",,,"('Georgia Tech', 23)",,
,,,"('Auburn', 20)",,,,,
