AP_XC_5_Team_Race,SEC,Big Ten,Pac-12,ACC,American,Big 12,FBS Indep.,Mountain West,MAC,Sun Belt,CUSA,Other
Preseason,29,82,77,114,,91,,,,,,
Week 2,34,82,70,108,,91,,,,,,
Week 3,37,75,68,92,,100.0,,,,,,
Week 4,38,87,60,92.5,,105.5,,,,,,
Week 5,38,92,62,81,,107.0,,,,,,
Week 6,39,96,56,77,,,,,,,,
Week 7,41,98,66.5,83.0,,,,,,,,
Week 8,39,110,73,76.5,,100,,,,,,
Week 9,44,104,76,,,87,,,,,,
Week 10,42,108.5,82,87.5,,79.5,,,,,,
Week 11,38,106.5,79.5,,,83,,,,,,
Week 12,38,89,75,96,,101.0,,,,,,
Week 13,36,89.5,71,,,99.0,,,,,,
Week 14,35,90.5,78,,,,,,,,,
Week 15,34,96,74,99.0,,,,,,,,
Week 16,36,95,75,103.0,,,,,,,,
Final,32,94.5,76,,,100,,,,,,
