AP_XC_5_Team_Race,Big Ten,ACC,SEC,Big 12,Pac-10,Big East,WAC,CUSA,FBS Indep.,MAC,Big West
Preseason,62,,66,81.0,85.5,,,,,,
Week 2,68.0,,61.0,66,74,,,,,,
Week 3,,,51,61,69,,,,,,
Week 4,,,53,64,66,,,,,,
Week 5,,,51,63.5,76,,,,,,
Week 6,,,48,60,,,,,,,
Week 7,,,59,61,,,,,,,
Week 8,,,58,55,,,,,,,
Week 9,,,,61,,,,,,,
Week 10,,,,63,,,,,,,
Week 11,,,,50,,,,,,,
Week 12,78.5,,54,69,,,,,,,
Week 13,,,59,,,,,,,,
Week 14,,,61,69,,,,,,,
Week 15,,,63,69,,,,,,,
Week 16,,,,,,,,,,,
Final,61,,65,76,,,,,,,
