"('SEC', 49)","('American', 'DNS')","('Big 12', 97)","('Big Ten', 38)","('Pac-12', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('ACC', 122)","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Cincinnati', 2)","('Oklahoma', 3)","('Ohio State', 5)","('Oregon', 10)","('Notre Dame', 13)","('Coast Carolina', 14)","('Wake Forest', 16)","('San Diego St', 22)","('UTSA', 24)"
"('Alabama', 4)","('SMU', 21)","('Oklahoma St', 8)","('Michigan', 6)","('Utah', 27)","('BYU', 29)","('Louisiana', 32)","('NC State', 18)","('Air Force', 30)",
"('Ole Miss', 12)","('Houston', 37.5)","('Baylor', 20)","('Penn State', 7)","('Arizona St', 33.5)",,,"('Pitt', 23)",,
"('Kentucky', 15)",,"('Iowa State', 31)","('Michigan State', 9)","('UCLA', 36)",,,"('Clemson', 26)",,
"('Texas A&M', 17)",,"('Texas', 35)","('Iowa', 11)",,,,"('Virginia', 39)",,
"('Auburn', 19)",,,"('Purdue', 25)",,,,,,
"('Arkansas', 28)",,,,,,,,,
"('Florida', 33.5)",,,,,,,,,
"('LSU', 37.5)",,,,,,,,,
