"('SEC', 41)","('Big Ten', 73)","('Big 12', 86)","('ACC', 98)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 86)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Oklahoma', 4)","('Clemson', 6)","('Cincinnati', 7)","('Notre Dame', 8)","('Oregon', 12)","('Coast Carolina', 17)","('Nevada', 35)","('Ball State', 40)","('UAB', 42)"
"('Georgia', 2)","('Iowa', 10)","('Iowa State', 9)","('Virginia Tech', 19)","('UCF', 28)","('Liberty', 29.5)","('USC', 14)","('Louisiana', 37)",,,
"('Texas A&M', 5)","('Penn State', 11)","('Texas', 15)","('Miami', 22)",,"('BYU', 38)","('UCLA', 16)","('Appalachian St', 47)",,,
"('Florida', 13)","('Wisconsin', 18)","('TCU', 26)","('North Carolina', 24)",,"('Army', 45.5)","('Utah', 21)",,,,
"('Ole Miss', 20)","('Michigan', 31)","('Oklahoma St', 32)","('NC State', 27)",,,"('Arizona St', 23)",,,,
"('Auburn', 25)","('Indiana', 33)","('Kansas St', 36)","('Boston College', 39)",,,,,,,
"('LSU', 29.5)","('Michigan State', 34)","('Texas Tech', 45.5)","('Florida St', 43)",,,,,,,
"('Kentucky', 44)","('Maryland', 41)",,,,,,,,,
