"('SEC', 47)","('Big Ten', 33)","('American', 'DNS')","('Big 12', 100)","('Pac-12', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('ACC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Iowa', 2)","('Cincinnati', 3)","('Oklahoma', 4)","('Oregon', 9)","('Notre Dame', 14)","('Coast Carolina', 15)","('Wake Forest', 16)","('San Diego St', 24)","('UTSA', 29)"
"('Alabama', 5)","('Ohio State', 6)","('SMU', 23)","('Oklahoma St', 12)","('Arizona St', 18)","('BYU', 19)","('Appalachian St', 32.5)","('NC State', 22)","('Air Force', 32.5)",
"('Kentucky', 11)","('Penn State', 7)",,"('Texas', 25)",,,,"('Clemson', 27)",,
"('Ole Miss', 13)","('Michigan', 8)",,"('Baylor', 28)",,,,"('Pitt', 34)",,
"('Arkansas', 17)","('Michigan State', 10)",,"('Kansas St', 31)",,,,,,
"('Florida', 20)",,,,,,,,,
"('Texas A&M', 21)",,,,,,,,,
"('Auburn', 26)",,,,,,,,,
"('Mississippi St', 30)",,,,,,,,,
