"('SEC', 51)","('Big Ten', 55)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 'DNS')","('Pac-12', 'DNS')","('CUSA', 'DNS')","('ACC', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Cincinnati', 4)","('Notre Dame', 5)","('Oklahoma St', 7)","('Oregon', 11)","('UTSA', 15)","('Pitt', 20)","('San Diego St', 22)","('Louisiana', 23)"
"('Alabama', 3)","('Michigan', 6)","('Houston', 19)","('BYU', 13)","('Baylor', 9)","('Utah', 16)",,"('Wake Forest', 21)",,"('Appalachian St', 29)"
"('Ole Miss', 8)","('Michigan State', 12)",,,"('Oklahoma', 10)",,,"('NC State', 24)",,
"('Texas A&M', 14)","('Iowa', 17)",,,,,,"('Clemson', 26)",,
"('Arkansas', 25)","('Wisconsin', 18)",,,,,,,,
"('Mississippi St', 27)","('Penn State', 28)",,,,,,,,
"('Kentucky', 30)","('Purdue', 31)",,,,,,,,
