"('SEC', 41)","('Big 12', 84)","('ACC', 97.0)","('Big Ten', 70)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 95)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Oklahoma', 2)","('Clemson', 3)","('Ohio State', 4)","('Cincinnati', 8)","('Notre Dame', 9)","('Oregon', 11)","('Coast Carolina', 22)","('Nevada', 34.5)","('Ball State', 36.5)","('UAB', 43.0)"
"('Georgia', 5)","('Iowa State', 7)","('North Carolina', 10)","('Wisconsin', 12)","('UCF', 39.0)","('Liberty', 29)","('USC', 15)","('Louisiana', 23)","('Boise St', 34.5)",,
"('Texas A&M', 6)","('Texas', 21)","('Miami', 14)","('Indiana', 17)","('Houston', 39.0)","('BYU', 36.5)","('Washington', 20)",,,,
"('Florida', 13)","('Oklahoma St', 26)","('NC State', 31)","('Iowa', 18)",,"('Army', 43.0)","('Utah', 24)",,,,
"('LSU', 16)","('TCU', 28)","('Boston College', 39.0)","('Penn State', 19)",,,"('Arizona St', 25)",,,,
"('Ole Miss', 27)","('West Virginia', 41)",,"('Michigan', 32)",,,"('UCLA', 43.0)",,,,
"('Auburn', 30)",,,"('Northwestern', 33)",,,,,,,
