AP_XC_5_Team_Race,Pac-10,Big 12,SEC,Big Ten,ACC,Big East,WAC,Mountain West,FBS Indep.,MAC,CUSA
Preseason,105,81,47,63,78,,,,,,
Week 2,98,101,56,62,68,,,,,,
Week 3,97,98,48,87,58,,,,,,
Week 4,81,,45,71,60,,,,,,
Week 5,78,107,41,76,58,,,,,,
Week 6,73,101,44,76,58,,,,,,
Week 7,78,104,49,84,58,,,,,,
Week 8,,99,49,95,56,,,,,,
Week 9,,105,51,85,62,,,,,,
Week 10,,98,45,81,79,,,,,,
Week 11,,,56,82,84,,,,,,
Week 12,60,98,69,76,83,,,,,,
Week 13,,,56,82,84,,,,,,
Week 14,,107,58,84,79,,,,,,
Week 15,,,56,76,80,,,,,,
Week 16,,117,54,73,85,,,,,,
Final,,,50.5,76,86,,,,,,
