"('Pac-10', np.int64(60))","('Big 12', np.int64(98))","('SEC', np.int64(69))","('Big Ten', np.int64(76))","('ACC', np.int64(83))","('FBS Indep.', 'DNS')","('Big East', 'DNS')","('Mountain West', 'DNS')","('WAC', 'DNS')"
"('USC', 1)","('Texas', 2)","('LSU', 3)","('Penn State', 4)","('Virginia Tech', 5)","('Notre Dame', 6)","('West Virginia', 16)","('TCU', 18)","('Fresno State', 20)"
"('Oregon', 8)","('Texas Tech', 13)","('Auburn', 9)","('Ohio State', 7)","('Miami (FL)', 10)",,"('Louisville', 23)",,"('Boise State', 28)"
"('UCLA', 11)","('Colorado', 22)","('Florida', 12)","('Wisconsin', 19)","('Florida State', 17)",,"('South Florida', 34)",,
"('UCLA', 14)","('Oklahoma', 29)","('Auburn', 15)","('Michigan', 21)","('Georgia Tech', 24)",,,,
"('California', 26)","('Iowa State', 32)","('South Carolina', 30)","('Northwestern', 25)","('Boston College', 27)",,,,
,,,"('Minnesota', 31)",,,,,
,,,"('Iowa', 33)",,,,,
