"('SEC', np.int64(34))","('Big 12', np.int64(46))","('Pac-10', 'DNS')","('ACC', 'DNS')","('Big Ten', np.int64(53))","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('WAC', 'DNS')","('Big East', 'DNS')"
"('Tennessee', 1)","('Kansas State', 2)","('UCLA', 3)","('Florida State', 4)","('Ohio State', 5)","('Notre Dame', 9)","('Tulane', 11)","('Air Force', 18)","('Miami (FL)', 19)"
"('Florida', 8)","('Texas A&M', 6)","('Arizona', 7)","('Virginia', 16)","('Wisconsin', 10)",,,,"('Virginia Tech', 20)"
"('Georgia', 12)","('Nebraska', 14)","('Oregon', 22)","('Georgia Tech', 17)","('Michigan', 15)",,,,"('Syracuse', 21)"
"('Arkansas', 13)","('Missouri', 24)",,,"('Penn State', 23)",,,,
"('Mississippi State', 25)",,,,,,,,
