"('SEC', 44)","('ACC', 73)","('Big 12', 96)","('Big Ten', 74)","('Pac-12', 82)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Oklahoma', 3)","('OSU', 6)","('Stanford', 8)","('Notre Dame', 10)","('Houston', 15)","('Boise State', 30)","('W Kentucky', 40)","('Toledo', 41.5)"
"('LSU', 5)","('FSU', 4)","('TCU', 13)","('Michigan', 7)","('Washington', 14)",,"('Navy', 38)","('San Diego State', 31)",,
"('Tennessee', 9)","('Louisville', 19)","('Oklahoma State', 21)","('Michigan State', 12)","('UCLA', 16)",,"('USF', 41.5)",,,
"('Ole Miss', 11)","('UNC', 22)","('Baylor', 23)","('Iowa', 17)","('USC', 20)",,,,,
"('Georgia', 18)","('Miami', 26)","('Texas', 36)","('Wisconsin', 32)","('Oregon', 24)",,,,,
"('Florida', 25)","('Pitt', 34)",,"('Nebraska', 37)","('Utah', 28)",,,,,
"('Texas A&M', 27)",,,"('Northwestern', 39)","('Washington St', 29)",,,,,
"('Auburn', 33)",,,,,,,,,
"('Arkansas', 35)",,,,,,,,,
