"('SEC', 85)","('Big Ten', 43)","('ACC', 74.5)","('Pac-12', 68)","('Big 12', 'DNS')","('MAC', 'DNS')","('American', 139.5)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Clemson', 3)","('Washington', 4)","('Oklahoma', 7)","('W Michigan', 13)","('Navy', 20)","('Boise State', 27)","('Troy', 34)"
"('Florida', 15)","('Michigan', 5)","('FSU', 12)","('Colorado', 9)","('Oklahoma State', 11)",,"('USF', 24.5)","('Air Force', 31)",
"('Auburn', 18)","('Wisconsin', 6)","('Louisville', 16)","('USC', 10)","('West Virginia', 14)",,"('Houston', 26)",,
"('LSU', 21)","('Penn State', 8)","('VT', 19)","('Stanford', 17)",,,"('Temple', 32)",,
"('Texas A&M', 30)","('Iowa', 22)","('Pitt', 24.5)","('Utah', 28)",,,"('Tulsa', 37)",,
"('Tennessee', 33)","('Nebraska', 23)","('Miami', 35)","('Washington St', 29)",,,,,
,,"('Georgia Tech', 36)",,,,,,
