"('SEC', 54)","('Big Ten', 45)","('ACC', 71.5)","('American', 'DNS')","('Pac-12', 98.5)","('Big 12', 120)","('Mountain West', 'DNS')","('MVFC', 'DNS')","('FBS Indep.', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Louisville', 3)","('Houston', 6)","('Stanford', 7)","('Baylor', 16)","('San Diego State', 22)","('North Dakota St', 27.5)","('Notre Dame', 33)","('Cent Michigan', 37)"
"('Texas A&M', 10)","('Michigan', 4)","('Clemson', 5)","('USF', 38)","('Washington', 9)","('Texas', 21)","('Boise State', 29)",,,"('W Michigan', 39.5)"
"('Georgia', 12)","('Michigan State', 8)","('FSU', 13)",,"('Utah', 24)","('Oklahoma', 25)",,,,"('Toledo', 39.5)"
"('Tennessee', 14)","('Wisconsin', 11)","('Miami', 15)",,"('UCLA', 27.5)","('TCU', 26)",,,,
"('Arkansas', 17)","('Nebraska', 20)","('UNC', 35.5)",,"('Cal', 31)","('Oklahoma State', 32)",,,,
"('LSU', 18)","('Iowa', 30)","('Georgia Tech', 35.5)",,"('Oregon', 34)",,,,,
"('Florida', 19)","('Maryland', 41.5)","('VT', 43)",,"('Arizona State', 41.5)",,,,,
"('Ole Miss', 23)",,,,,,,,,
