"('SEC', 57)","('Big Ten', 50)","('ACC', 66)","('Pac-12', 101)","('Big 12', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Michigan', 2)","('Clemson', 3)","('Washington', 4)","('Baylor', 8)","('Boise State', 13)","('W Michigan', 20)","('Navy', 22)","('Troy', 30)"
"('Texas A&M', 9)","('OSU', 6)","('Louisville', 5)","('Utah', 17)","('West Virginia', 10)","('San Diego State', 32.5)",,"('Houston', 27)",
"('Florida', 14)","('Nebraska', 7)","('FSU', 12)","('Colorado', 23)","('Oklahoma', 16)",,,"('SMU', 34)",
"('Auburn', 15)","('Wisconsin', 11)","('UNC', 21)","('Washington St', 26)","('Oklahoma State', 28)",,,,
"('Tennessee', 18)","('Penn State', 24)","('VT', 25)","('USC', 31)",,,,,
"('LSU', 19)",,"('Pitt', 32.5)",,,,,,
"('Arkansas', 29)",,,,,,,,
