"('SEC', 57)","('Big Ten', 46)","('ACC', 64)","('American', 'DNS')","('Pac-12', 92)","('Big 12', 112)","('Mountain West', 'DNS')","('MVFC', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Louisville', 3)","('Houston', 6)","('Stanford', 7)","('Baylor', 13)","('San Diego State', 19)","('North Dakota St', 28)","('W Michigan', 37)"
"('Texas A&M', 9)","('Michigan', 4)","('Clemson', 5)","('Memphis', 39)","('Washington', 10)","('TCU', 21)","('Boise State', 24)",,"('Toledo', 41)"
"('Tennessee', 11)","('Wisconsin', 8)","('FSU', 12)",,"('Utah', 18)","('Texas', 22)",,,
"('Ole Miss', 16)","('Nebraska', 15)","('Miami', 14)",,"('Arizona State', 26)","('Oklahoma', 27)",,,
"('Arkansas', 20)","('Michigan State', 17)","('VT', 30)",,"('Colorado', 31)","('West Virginia', 29)",,,
"('Florida', 23)","('Iowa', 33)","('UNC', 32)",,"('UCLA', 34)",,,,
"('Georgia', 25)","('Maryland', 40)","('Wake Forest', 38)",,,,,,
"('Auburn', 35)",,,,,,,,
"('LSU', 36)",,,,,,,,
