"('SEC', 76)","('Big Ten', 35)","('ACC', 86)","('Pac-12', 71)","('Big 12', 'DNS')","('MAC', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Clemson', 4)","('Washington', 6)","('Oklahoma', 7)","('W Michigan', 14)","('Houston', 18)","('Boise State', 20)","('Troy', 34)"
"('Florida', 13)","('Michigan', 3)","('Louisville', 11)","('Colorado', 9)","('Oklahoma State', 10)",,"('Navy', 28)","('Wyoming', 36.5)",
"('Auburn', 16)","('Wisconsin', 5)","('FSU', 15)","('USC', 12)","('West Virginia', 19)",,"('USF', 30.5)",,
"('Texas A&M', 22)","('Penn State', 8)","('VT', 27)","('Utah', 21)",,,"('Temple', 36.5)",,
"('Tennessee', 24)","('Nebraska', 17)","('UNC', 29)","('Washington St', 23)",,,,,
"('LSU', 25)","('Iowa', 33)","('Pitt', 30.5)","('Stanford', 26)",,,,,
"('Arkansas', 32)","('Minnesota', 35)",,,,,,,
