"('SEC', 60)","('Big Ten', 48)","('ACC', 61)","('Pac-12', 82)","('Big 12', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('American', 'DNS')"
"('Alabama', 1)","('Michigan', 2)","('Clemson', 3)","('Washington', 4)","('Oklahoma', 9)","('W Michigan', 14)","('Boise State', 24)","('Troy', 29)","('Houston', 30)"
"('Auburn', 8)","('OSU', 6)","('Louisville', 5)","('Utah', 13)","('West Virginia', 11)",,"('San Diego State', 28)",,"('Tulsa', 32.5)"
"('Texas A&M', 10)","('Wisconsin', 7)","('UNC', 15)","('Colorado', 16)","('Oklahoma State', 17)",,"('Wyoming', 35.0)",,"('USF', 32.5)"
"('LSU', 19)","('Penn State', 12)","('VT', 18)","('Washington St', 23)","('Baylor', 25)",,,,"('Navy', 35.0)"
"('Florida', 22)","('Nebraska', 21)","('FSU', 20)","('USC', 26)",,,,,
"('Arkansas', 27)","('Minnesota', 35.0)",,,,,,,
"('Tennessee', 31)",,,,,,,,
