AP_XC_4_Team_Race,Big 12,SEC,Pac-12,Mountain West,ACC,Big Ten,FBS Indep.,Big East,CUSA,WAC,MAC,Sun Belt,Other
Preseason,39,33,63,,81,56,,,149,,,,
Week 2,37,31,73,,88,50,,,,,,,
Week 3,37,29,67,,85,50,,,,,,,
Week 4,33,31,69,,70,61,,,,,,,
Week 5,36,26,72,,68,58,,,,,,,
Week 6,40,28,66,,65,49,,120,,,,,
Week 7,46,28,61,,71,45,,,,,,,
Week 8,38,27,62.5,,78,50,,,,,,,
Week 9,40,25,54,,84,51,,116,,,,,
Week 10,53,21,51,,77,53,,,,,,,
Week 11,47,27,55,,68,60,,,,,,,
Week 12,48,23,63,,65,64,,,,,,,
Week 13,54,19,,,73,63,,,,,,,
Week 14,51,21,,,81,63,,,,,,,
Week 15,48,20,,,86,55,,123,,,,,
Week 16,,,,,,,,,,,,,
Final,47,17,60,,100,57,,,,,,,
