"('ACC', 'DNS')","('Big Ten', np.int64(55))","('Big 12', 'DNS')","('Big East', 'DNS')","('SEC', np.int64(47))","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Florida State', 1)","('Penn State', 2)","('Nebraska', 3)","('Virginia Tech', 4)","('Tennessee', 5)","('Marshall', 15)","('BYU', 19)","('East Carolina', 20)"
"('Georgia Tech', 8)","('Michigan', 9)","('Kansas State', 7)","('Miami (FL)', 23)","('Florida', 6)",,,"('Southern Miss', 21)"
,"('Michigan State', 11)","('Texas A&M', 13)","('Syracuse', 26)","('Alabama', 10)",,,
,"('Purdue', 16)","('Texas', 18)",,"('Mississippi State', 12)",,,
,"('Wisconsin', 17)",,,"('Georgia', 14)",,,
,"('Ohio State', 22)",,,"('Mississippi', 25)",,,
,"('Minnesota', 24)",,,,,,
