"('ACC', 'DNS')","('Big Ten', np.int64(64))","('Big East', 'DNS')","('SEC', np.int64(43))","('Big 12', np.int64(73))","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('FBS Indep.', 'DNS')"
"('Florida State', 1)","('Penn State', 2)","('Virginia Tech', 3)","('Tennessee', 4)","('Kansas State', 6)","('Marshall', 13)","('BYU', 15)","('East Carolina', 18)","('Notre Dame', 24)"
"('Georgia Tech', 7)","('Wisconsin', 10)","('Miami (FL)', 22)","('Florida', 5)","('Nebraska', 9)",,,"('Southern Miss', 25)",
,"('Michigan', 16)",,"('Mississippi State', 8)","('Texas', 11)",,,,
,"('Purdue', 17)",,"('Alabama', 12)","('Texas A&M', 21)",,,,
,"('Michigan State', 19)",,"('Georgia', 14)","('Oklahoma', 26)",,,,
,"('Ohio State', 20)",,"('Mississippi', 23)",,,,,
